Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1041500  Y 925000
X 1038434  Y 979000
X 1043034  Y 982500
X 1031337  Y 990476
X 1047133  Y 1010999
X 1028236  Y 1010999
X 1021937  Y 1010999
X 1034535  Y 1010999
X 1031437  Y 1013676
X 1025086  Y 1014148
X 1037685  Y 1014148
X 1043984  Y 1014148
X 1040834  Y 1023200
X 1050283  Y 1014148
X 1069181  Y 1014148
X 1062881  Y 1014148
X 1056582  Y 1014148
X 1053433  Y 1010999
X 1066031  Y 1010999
X 1059732  Y 1010999
X 1072330  Y 1010999
X 1050283  Y 990526
X 1072337  Y 987476
X 1069181  Y 982652
X 1058334  Y 944900
X 1056737  Y 939676
X 1054937  Y 934976
X 1058237  Y 931576
X 1073634  Y 923100
X 1070434  Y 920700
X 1055000  Y 918500
X 1067606  Y 912700
X 1064456  Y 909500
X 1061307  Y 906300
X 1073905  Y 897613
X 1066937  Y 897576
X 1063337  Y 897576
X 1098314  Y 899975
X 1078629  Y 902337
X 1091234  Y 912700
X 1087291  Y 916511
X 1077055  Y 927534
X 1097634  Y 935100
X 1083354  Y 944857
X 1084929  Y 951156
X 1081779  Y 973203
X 1075437  Y 989676
X 1094337  Y 990476
X 1091237  Y 1009376
X 1078637  Y 1009376
X 1097527  Y 1010999
X 1075480  Y 1023200
X 1094434  Y 1023900
X 1106976  Y 1014148
X 1100677  Y 1014148
X 1122724  Y 1010999
X 1103826  Y 1010999
X 1106937  Y 982652
X 1122724  Y 974000
X 1116425  Y 957455
X 1119574  Y 951156
X 1104034  Y 930300
X 1124034  Y 924700
X 1103826  Y 922810
X 1124299  Y 915100
X 1110125  Y 911100
X 1109437  Y 899992
X 1124437  Y 899992
X 1104437  Y 899992
X 1119437  Y 899992
X 1114437  Y 899992
X 1111937  Y 894992
X 1121937  Y 894992
X 1149437  Y 894992
X 1141937  Y 894992
X 1131937  Y 894992
X 1129437  Y 899992
X 1148034  Y 919100
X 1144834  Y 921500
X 1141634  Y 923900
X 1132034  Y 925500
X 1128034  Y 925500
X 1138434  Y 926300
X 1135234  Y 928700
X 1132034  Y 931100
X 1128834  Y 933500
X 1125634  Y 935900
X 1125900  Y 969700
X 1129023  Y 976876
X 1132134  Y 982652
X 1135322  Y 990526
X 1129023  Y 1010999
X 1144771  Y 1010999
X 1138472  Y 1010999
X 1141622  Y 1014148
X 1147921  Y 1014148
X 1125900  Y 1014500
X 1135234  Y 1015300
X 1132134  Y 1019900
X 1164034  Y 1023900
X 1169968  Y 1014148
X 1160519  Y 1014148
X 1154220  Y 1014148
X 1173118  Y 1010999
X 1166818  Y 1010999
X 1157370  Y 1010999
X 1151070  Y 1010999
X 1163669  Y 990526
X 1169650  Y 973900
X 1173118  Y 970054
X 1164000  Y 969200
X 1158944  Y 963800
X 1157370  Y 944857
X 1162434  Y 923900
X 1166818  Y 919660
X 1151234  Y 916700
X 1155234  Y 915900
X 1164034  Y 903100
X 1174434  Y 900700
X 1159437  Y 899992
X 1169181  Y 897500
X 1154437  Y 894992
X 1184834  Y 897500
X 1184834  Y 902300
X 1199234  Y 915100
X 1186200  Y 922600
X 1176834  Y 923100
X 1195165  Y 961392
X 1197527  Y 966117
X 1192034  Y 966904
X 1179700  Y 971300
X 1186600  Y 973300
X 1179417  Y 976500
X 1176267  Y 979600
X 1186600  Y 983200
X 1185634  Y 991100
X 1179417  Y 1010999
X 1182566  Y 1014148
X 1176267  Y 1014148
X 1185634  Y 1023900
X 1207234  Y 1023900
X 1201464  Y 1014148
X 1204614  Y 1009424
X 1208034  Y 991100
X 1219234  Y 979100
X 1207800  Y 972500
X 1214600  Y 970500
X 1204614  Y 970054
X 1200300  Y 963800
X 1214434  Y 944700
X 1223234  Y 932700
X 1218787  Y 930684
X 1215637  Y 927534
X 1212034  Y 909500
X 1206434  Y 905500
X 1209634  Y 901500
X 1209437  Y 897491
X 1224437  Y 897491
X 1219437  Y 897491
X 1244437  Y 897491
X 1249437  Y 897491
X 1239437  Y 897491
X 1234437  Y 897491
X 1230734  Y 901900
X 1227637  Y 907276
X 1243000  Y 918300
X 1239234  Y 924700
X 1235234  Y 926300
X 1231234  Y 927100
X 1232034  Y 931100
X 1228034  Y 933500
X 1249634  Y 934300
X 1225634  Y 936700
X 1237634  Y 948700
X 1225634  Y 976700
X 1238434  Y 977500
X 1249700  Y 980200
X 1242434  Y 982300
X 1265850  Y 980200
X 1256600  Y 977600
X 1269400  Y 977500
X 1264500  Y 973200
X 1274434  Y 971100
X 1261000  Y 970500
X 1269634  Y 946300
X 1252034  Y 931100
X 1269434  Y 910900
X 1254900  Y 906100
X 1260300  Y 902100
X 1274437  Y 897492
X 1254437  Y 897491
X 1284437  Y 897491
X 1294437  Y 897491
X 1299437  Y 897491
X 1279437  Y 897492
X 1275234  Y 908600
X 1288034  Y 923100
X 1285634  Y 927500
X 1281634  Y 930300
