Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 978781  Y 940689
X 996223  Y 942149
X 982981  Y 946089
X 996223  Y 946149
X 980223  Y 948949
X 991727  Y 952019
X 992623  Y 954519
X 995023  Y 957349
X 986727  Y 959019
X 980223  Y 959349
X 995227  Y 964019
X 991823  Y 966149
X 992223  Y 971349
X 993400  Y 979600
X 998800  Y 986800
X 980200  Y 988600
X 982223  Y 1001349
X 1003600  Y 1003600
X 983823  Y 1006549
X 1003423  Y 1006949
X 1003000  Y 1011000
X 1011823  Y 998149
X 1019423  Y 996549
X 1025423  Y 996149
X 1019423  Y 994549
X 1023823  Y 992949
X 1018000  Y 983800
X 1005423  Y 977349
X 1020223  Y 974149
X 1025423  Y 973749
X 1005423  Y 972549
X 1016223  Y 972549
X 1022623  Y 971349
X 1027227  Y 968019
X 1017023  Y 967749
X 1017023  Y 962949
X 1005023  Y 962949
X 1027423  Y 962949
X 1027227  Y 958019
X 1017978  Y 957889
X 1005227  Y 956019
X 1009423  Y 948949
X 1005227  Y 944019
X 1009981  Y 941889
X 1015981  Y 941889
X 1020181  Y 941889
X 1017253  Y 912366
X 1022253  Y 912366
X 1017253  Y 901866
X 1022253  Y 901866
X 1025253  Y 897866
X 1013753  Y 897866
X 1022253  Y 890866
X 1017253  Y 890866
X 1015600  Y 838000
X 1015600  Y 831400
X 1007200  Y 824200
X 1015600  Y 822400
X 1015600  Y 815800
X 1020510  Y 810656
X 1026400  Y 809200
X 1024600  Y 806200
X 1013310  Y 805256
X 1009710  Y 805256
X 1015710  Y 804056
X 1024600  Y 803200
X 1018110  Y 802856
X 1011510  Y 802856
X 1016200  Y 801400
X 1042600  Y 800800
X 1037200  Y 803200
X 1049200  Y 803200
X 1043800  Y 803200
X 1030000  Y 809800
X 1037800  Y 812800
X 1040200  Y 812800
X 1039000  Y 818800
X 1041400  Y 818800
X 1052800  Y 818800
X 1033000  Y 820000
X 1036000  Y 823600
X 1049200  Y 826000
X 1028800  Y 827200
X 1049200  Y 828400
X 1036000  Y 830800
X 1033000  Y 833800
X 1052800  Y 835600
X 1039000  Y 840400
X 1035400  Y 841000
X 1046800  Y 848200
X 1042000  Y 849400
X 1029400  Y 850000
X 1029400  Y 852400
X 1042000  Y 852400
X 1045600  Y 854800
X 1045600  Y 864400
X 1046600  Y 871000
X 1043100  Y 882000
X 1048110  Y 882056
X 1037310  Y 884456
X 1031310  Y 888656
X 1035510  Y 892256
X 1033110  Y 895256
X 1043331  Y 901853
X 1039110  Y 904256
X 1040331  Y 909053
X 1048131  Y 911453
X 1036000  Y 939200
X 1029781  Y 939489
X 1032000  Y 941000
X 1051381  Y 941289
X 1041023  Y 942149
X 1040727  Y 945519
X 1051381  Y 946689
X 1041023  Y 950149
X 1051300  Y 951400
X 1037423  Y 952949
X 1049823  Y 956149
X 1039727  Y 957519
X 1050227  Y 966019
X 1051381  Y 968889
X 1051423  Y 972519
X 1033423  Y 973349
X 1038223  Y 973749
X 1029823  Y 973749
X 1047423  Y 974549
X 1040227  Y 977519
X 1043856  Y 983889
X 1036223  Y 984149
X 1029823  Y 984149
X 1033423  Y 984549
X 1051823  Y 989349
X 1037023  Y 996549
X 1048623  Y 996549
X 1034223  Y 1000149
X 1029500  Y 1003000
X 1029500  Y 1005500
X 1051023  Y 1006549
X 1041423  Y 1007349
X 1046227  Y 1008019
X 1029423  Y 1008149
X 1034227  Y 1015019
X 1067800  Y 1025800
X 1070200  Y 1025800
X 1060727  Y 1021519
X 1067800  Y 1003000
X 1070200  Y 1003000
X 1061227  Y 997519
X 1059023  Y 981519
X 1063823  Y 979349
X 1056623  Y 978949
X 1059823  Y 971749
X 1055823  Y 971349
X 1054981  Y 964089
X 1061081  Y 963389
X 1061081  Y 958389
X 1060881  Y 949389
X 1060981  Y 944289
X 1057981  Y 941889
X 1060681  Y 934389
X 1072610  Y 906856
X 1072110  Y 901856
X 1072110  Y 899356
X 1072110  Y 896356
X 1073610  Y 891356
X 1077610  Y 888856
X 1061610  Y 886356
X 1075610  Y 882056
X 1062100  Y 880100
X 1061300  Y 877300
X 1070600  Y 875600
X 1068700  Y 873100
X 1075600  Y 869000
X 1065700  Y 869000
X 1063731  Y 865853
X 1073931  Y 865853
X 1077500  Y 859500
X 1063731  Y 852653
X 1073931  Y 852653
X 1071400  Y 850600
X 1071400  Y 848200
X 1064800  Y 839200
X 1060600  Y 838600
X 1060000  Y 832000
X 1071400  Y 829000
X 1071400  Y 826600
X 1060000  Y 822400
X 1060000  Y 815800
X 1077800  Y 811600
X 1069000  Y 811600
X 1067200  Y 805600
X 1074400  Y 802600
X 1078000  Y 802600
X 1068400  Y 802600
X 1060600  Y 801400
X 1065400  Y 801400
X 1084000  Y 802600
X 1087600  Y 803200
X 1079800  Y 804400
X 1091200  Y 805600
X 1079800  Y 806800
X 1082200  Y 810400
X 1089400  Y 810400
X 1087000  Y 810400
X 1084600  Y 810400
X 1082700  Y 820900
X 1085800  Y 821200
X 1088800  Y 821200
X 1086300  Y 824200
X 1089400  Y 824200
X 1097200  Y 827800
X 1087000  Y 827800
X 1079200  Y 827800
X 1086200  Y 831700
X 1089400  Y 832000
X 1082700  Y 834600
X 1087000  Y 837400
X 1087000  Y 839800
X 1091200  Y 851200
X 1091200  Y 854800
X 1094200  Y 858400
X 1090600  Y 860200
X 1091200  Y 864400
X 1088800  Y 875200
X 1084110  Y 884456
X 1082110  Y 888856
X 1094110  Y 891356
X 1082110  Y 893856
X 1094110  Y 896356
X 1083610  Y 899356
X 1094110  Y 901856
X 1084110  Y 904256
X 1097610  Y 911356
X 1087610  Y 911856
X 1083631  Y 911974
X 1097610  Y 915856
X 1097110  Y 932356
X 1090610  Y 934356
X 1097110  Y 935356
X 1092610  Y 939356
X 1096131  Y 939653
X 1096131  Y 942653
X 1091610  Y 944356
X 1097110  Y 947356
X 1091110  Y 949356
X 1097110  Y 955856
X 1091110  Y 958356
X 1097331  Y 967253
X 1091610  Y 968356
X 1097610  Y 971856
X 1090610  Y 973356
X 1097610  Y 976356
X 1091610  Y 982356
X 1091110  Y 987356
X 1091610  Y 992356
X 1090610  Y 997356
X 1083400  Y 1003000
X 1085800  Y 1003000
X 1092110  Y 1006356
X 1095110  Y 1011356
X 1095110  Y 1016356
X 1092110  Y 1021356
