Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1060000  Y 1012000
X 1054500  Y 1018000
X 1062727  Y 1021500
X 1058876  Y 1021500
X 1056227  Y 1023500
X 1060227  Y 1025560
X 1056000  Y 1042000
X 1056500  Y 1082000
X 1028077  Y 1113512
X 1043577  Y 1118312
X 1064500  Y 1106000
X 1085277  Y 1098712
X 1083277  Y 1096712
X 1085077  Y 1094860
X 1082077  Y 1090860
X 1084577  Y 1088860
X 1082577  Y 1084360
X 1084500  Y 1082500
X 1064500  Y 1076000
X 1083040  Y 1075112
X 1064500  Y 1066000
X 1081227  Y 1065214
X 1085227  Y 1057163
X 1085227  Y 1054214
X 1083727  Y 1052214
X 1085227  Y 1050214
X 1064877  Y 1046312
X 1085227  Y 1046214
X 1083727  Y 1044214
X 1085227  Y 1039714
X 1064500  Y 1036000
X 1078227  Y 1022060
X 1067000  Y 1022000
X 1083876  Y 1020060
X 1070077  Y 1017859
X 1086077  Y 1012312
X 1083376  Y 1012189
X 1096376  Y 1012060
X 1106376  Y 1012060
X 1103376  Y 1012060
X 1093376  Y 1012060
X 1093000  Y 1027500
X 1094727  Y 1031214
X 1099227  Y 1040163
X 1100400  Y 1042800
X 1098227  Y 1044163
X 1100400  Y 1046400
X 1098800  Y 1048400
X 1100400  Y 1050400
X 1098800  Y 1052400
X 1110500  Y 1054000
X 1100400  Y 1054400
X 1105073  Y 1057213
X 1100727  Y 1063663
X 1107000  Y 1078500
X 1100227  Y 1085163
X 1098577  Y 1086860
X 1100077  Y 1089360
X 1098077  Y 1090860
X 1100077  Y 1093360
X 1098077  Y 1094860
X 1100077  Y 1096860
X 1098077  Y 1098860
X 1107227  Y 1103714
X 1091500  Y 1110500
X 1135000  Y 1117500
X 1113677  Y 1111512
X 1117677  Y 1111112
X 1130500  Y 1109000
X 1128000  Y 1106500
X 1135500  Y 1106000
X 1119227  Y 1099714
X 1123227  Y 1099714
X 1134500  Y 1099000
X 1133000  Y 1097000
X 1134500  Y 1095000
X 1119227  Y 1093163
X 1123376  Y 1093163
X 1133000  Y 1093000
X 1117227  Y 1091663
X 1121227  Y 1091663
X 1134500  Y 1091000
X 1133000  Y 1089000
X 1133876  Y 1086560
X 1132876  Y 1084060
X 1130300  Y 1078200
X 1132000  Y 1076500
X 1130300  Y 1074500
X 1115727  Y 1074163
X 1134000  Y 1070000
X 1137000  Y 1054500
X 1113000  Y 1053000
X 1134500  Y 1052500
X 1114727  Y 1050663
X 1117727  Y 1050663
X 1120727  Y 1050663
X 1123227  Y 1050500
X 1132500  Y 1050500
X 1134500  Y 1048500
X 1132500  Y 1046500
X 1134000  Y 1044500
X 1132500  Y 1042500
X 1115500  Y 1041000
X 1134000  Y 1040500
X 1128500  Y 1014500
X 1113376  Y 1012060
X 1126376  Y 1012060
X 1136376  Y 1012060
X 1133376  Y 1012060
X 1123376  Y 1012060
X 1116376  Y 1012060
X 1143376  Y 1012060
X 1153376  Y 1012060
X 1146376  Y 1012060
X 1156376  Y 1012060
X 1151376  Y 1013560
X 1141376  Y 1013560
X 1148376  Y 1013560
X 1138376  Y 1013560
X 1161376  Y 1013560
X 1158376  Y 1013560
X 1154100  Y 1034900
X 1141000  Y 1035000
X 1156500  Y 1041300
X 1153000  Y 1046000
X 1160000  Y 1050000
X 1142000  Y 1054000
X 1149000  Y 1054000
X 1141400  Y 1056500
X 1160500  Y 1057000
X 1159500  Y 1062100
X 1161500  Y 1063500
X 1158300  Y 1066300
X 1154500  Y 1067500
X 1139500  Y 1069100
X 1143500  Y 1075000
X 1153500  Y 1075000
X 1144000  Y 1077500
X 1155000  Y 1080000
X 1149500  Y 1084000
X 1153500  Y 1085000
X 1151000  Y 1086000
X 1157500  Y 1086500
X 1149500  Y 1088000
X 1151500  Y 1090000
X 1149500  Y 1092000
X 1150000  Y 1105500
X 1141000  Y 1106000
X 1148000  Y 1107500
X 1144000  Y 1107500
X 1154500  Y 1108000
X 1158000  Y 1108000
X 1150300  Y 1109000
X 1161000  Y 1116000
X 1146500  Y 1116500
X 1154000  Y 1116500
X 1181000  Y 1111800
X 1164000  Y 1106000
X 1179573  Y 1105713
X 1172500  Y 1105000
X 1165500  Y 1103500
X 1164000  Y 1101500
X 1167500  Y 1101000
X 1172000  Y 1100500
X 1165500  Y 1099000
X 1174000  Y 1083500
X 1165000  Y 1083000
X 1180227  Y 1073714
X 1166000  Y 1071500
X 1176327  Y 1062214
X 1165500  Y 1059500
X 1180827  Y 1051014
X 1186876  Y 1037359
X 1185677  Y 1031512
X 1211227  Y 1012214
X 1208727  Y 1012214
X 1188077  Y 1015360
X 1192077  Y 1015360
X 1196077  Y 1015360
X 1200077  Y 1015360
X 1188077  Y 1029912
X 1200077  Y 1029912
X 1194077  Y 1031512
X 1195227  Y 1034214
X 1192727  Y 1038859
X 1198152  Y 1044340
X 1201302  Y 1044340
X 1210751  Y 1044340
X 1207601  Y 1044340
X 1204451  Y 1044340
X 1193876  Y 1045060
X 1198152  Y 1047489
X 1204451  Y 1047489
X 1207601  Y 1047489
X 1210751  Y 1047489
X 1201302  Y 1047489
X 1201302  Y 1050639
X 1207601  Y 1050639
X 1210751  Y 1050639
X 1204451  Y 1050639
X 1195003  Y 1050639
X 1198152  Y 1050639
X 1191573  Y 1052213
X 1207601  Y 1053789
X 1210751  Y 1053789
X 1195003  Y 1053789
X 1204451  Y 1053789
X 1198152  Y 1053789
X 1201302  Y 1053789
X 1204451  Y 1056938
X 1207601  Y 1056938
X 1210751  Y 1056938
X 1195003  Y 1060088
X 1201302  Y 1060088
X 1198152  Y 1060088
X 1201302  Y 1063238
X 1198152  Y 1063238
X 1204451  Y 1063238
X 1195003  Y 1063238
X 1207601  Y 1069537
X 1204451  Y 1069537
X 1201302  Y 1069537
X 1195003  Y 1069537
X 1198152  Y 1069537
X 1207601  Y 1072686
X 1201302  Y 1072687
X 1201302  Y 1075834
X 1210751  Y 1075836
X 1204451  Y 1078986
X 1198152  Y 1078986
X 1207601  Y 1078986
X 1195003  Y 1078986
X 1201302  Y 1078986
X 1210752  Y 1078987
X 1198152  Y 1082135
X 1207601  Y 1082135
X 1201302  Y 1082135
X 1210751  Y 1082135
X 1204451  Y 1082135
X 1195003  Y 1082135
X 1207601  Y 1085285
X 1198152  Y 1085285
X 1204451  Y 1085285
X 1195003  Y 1085285
X 1210751  Y 1085285
X 1207601  Y 1088434
