Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 999618  Y 860989
X 1001653  Y 862846
X 1003653  Y 860346
X 1003653  Y 867846
X 1005618  Y 865346
X 1011618  Y 847989
X 1019653  Y 845846
X 1035153  Y 845846
X 1038353  Y 845746
X 1046653  Y 870346
X 1049153  Y 870346
X 1060118  Y 845489
X 1063553  Y 845646
X 1075661  Y 845959
X 1079081  Y 845809
X 1081000  Y 850400
X 1085453  Y 848151
X 1085553  Y 845551
X 1088600  Y 868346
X 1088653  Y 848351
X 1088753  Y 845551
X 1091853  Y 848251
X 1092151  Y 845649
X 1093500  Y 865600
X 1095700  Y 869100
X 1098503  Y 862301
X 1101478  Y 862726
X 1105858  Y 856251
X 1107300  Y 862400
X 1108500  Y 857700
X 1109193  Y 847939
X 1111300  Y 862100
X 1112343  Y 851089
X 1112343  Y 847939
X 1115493  Y 847939
X 1115493  Y 851089
X 1118643  Y 847939
X 1120218  Y 845789
X 1121793  Y 851089
X 1124300  Y 867450
X 1124943  Y 847939
X 1124943  Y 851089
X 1128093  Y 847939
X 1128147  Y 851086
X 1131243  Y 847939
X 1131243  Y 851089
X 1134393  Y 851089
X 1134393  Y 847939
X 1137543  Y 847939
X 1137543  Y 851089
X 1140693  Y 847939
X 1140693  Y 851089
X 1143843  Y 847939
X 1143843  Y 851089
X 1146993  Y 847939
X 1147068  Y 845639
X 1150000  Y 847500
X 1150143  Y 851139
X 1153293  Y 847939
X 1153293  Y 851089
X 1156443  Y 847939
X 1156600  Y 865400
X 1159593  Y 851089
X 1159593  Y 847939
X 1162743  Y 851089
X 1162743  Y 854239
X 1162743  Y 847939
X 1165893  Y 847939
X 1165893  Y 851089
X 1169043  Y 855814
X 1169043  Y 851089
X 1169500  Y 847500
X 1172193  Y 854239
X 1172193  Y 847939
X 1172193  Y 845577
X 1175343  Y 851089
X 1175343  Y 847939
X 1178493  Y 851089
X 1178493  Y 847939
X 1181643  Y 851089
X 1181643  Y 847939
X 1184793  Y 855814
X 1184793  Y 851089
X 1187653  Y 860751
X 1187943  Y 854239
X 1187943  Y 847939
X 1191093  Y 847939
X 1192653  Y 870251
X 1193500  Y 849000
X 1196318  Y 846639
X 1197503  Y 861551
X 1202653  Y 857251
X 1205453  Y 852851
X 1288153  Y 851951
X 1288153  Y 855951
X 1289776  Y 847939
X 1292926  Y 851089
X 1292926  Y 847939
X 1296076  Y 847939
X 1296076  Y 851089
X 1299226  Y 851089
X 1299226  Y 847939
X 1302375  Y 847939
X 1302376  Y 851089
X 1305525  Y 851089
X 1305526  Y 847939
X 1308676  Y 851089
X 1308676  Y 847939
X 1311826  Y 855900
X 1314976  Y 847939
X 1314976  Y 855900
X 1318126  Y 851089
X 1318126  Y 847939
X 1321276  Y 847939
X 1321276  Y 851089
X 1324426  Y 851089
X 1324426  Y 847939
X 1327576  Y 847939
X 1327576  Y 851089
X 1330726  Y 851089
X 1330726  Y 847939
X 1333876  Y 847939
X 1333876  Y 851089
X 1337026  Y 847939
X 1337026  Y 851089
X 1340169  Y 855350
X 1340176  Y 851089
X 1343319  Y 855350
X 1343326  Y 845577
X 1346000  Y 847000
X 1346469  Y 849514
X 1349619  Y 851089
X 1349619  Y 847939
X 1352769  Y 847939
X 1352769  Y 851089
X 1355919  Y 847939
X 1355919  Y 851089
X 1359069  Y 847939
X 1359069  Y 851089
X 1362219  Y 847939
X 1362219  Y 851089
X 1365369  Y 851089
X 1377418  Y 847289
X 1377500  Y 851000
X 1350510  Y 888450
X 1340000  Y 884500
X 1318053  Y 879251
X 1309353  Y 890451
X 1209668  Y 870589
X 1202453  Y 891151
X 1197453  Y 891151
X 1187453  Y 891151
X 1182551  Y 871248
X 1179153  Y 889846
X 1173653  Y 890201
X 1169653  Y 894630
X 1166853  Y 875346
X 1166853  Y 886446
X 1163000  Y 876200
X 1159153  Y 886846
X 1159153  Y 875646
X 1156500  Y 887200
X 1151453  Y 875246
X 1151453  Y 885346
X 1138453  Y 884651
X 1138253  Y 891151
X 1127553  Y 893451
X 1125653  Y 891351
X 1122100  Y 880650
X 1112700  Y 879900
X 1107000  Y 893000
X 1100200  Y 892700
X 1095400  Y 880400
X 1090800  Y 870800
X 1088153  Y 873846
X 1088153  Y 891846
X 1084600  Y 892000
X 1084503  Y 881251
X 1080653  Y 891846
X 1080653  Y 873846
X 1078343  Y 871801
X 1078153  Y 874346
X 1073653  Y 891846
X 1073653  Y 874346
X 1069953  Y 891746
X 1069253  Y 881251
X 1066260  Y 874240
X 1066153  Y 891846
X 1059700  Y 874000
X 1059653  Y 891846
X 1056153  Y 891751
X 1055553  Y 881251
X 1052260  Y 873846
X 1052153  Y 891846
X 1045653  Y 891846
X 1045653  Y 874346
X 1041953  Y 891946
X 1041953  Y 880951
X 1039153  Y 874346
X 1038153  Y 891846
X 1035153  Y 873351
X 1033453  Y 871451
X 1031740  Y 874387
X 1031653  Y 891846
X 1028053  Y 880951
X 1028017  Y 891873
X 1024260  Y 874346
X 1024153  Y 891846
X 1017240  Y 874000
X 1017153  Y 891846
X 1013653  Y 891346
X 1013653  Y 881346
X 1010000  Y 873846
X 1009653  Y 891846
X 1006653  Y 872346
X 1009653  Y 906346
X 1017153  Y 906346
X 1020653  Y 906346
X 1024153  Y 906346
X 1031653  Y 906346
X 1038653  Y 906346
X 1045653  Y 906346
X 1049153  Y 906346
X 1052653  Y 906346
X 1059653  Y 906346
X 1066153  Y 906346
X 1073653  Y 906346
X 1077153  Y 906346
X 1080653  Y 906346
X 1088653  Y 906346
X 1092900  Y 898900
X 1100100  Y 907300
X 1107000  Y 906900
X 1110700  Y 907400
X 1111650  Y 919700
X 1118800  Y 899350
X 1130078  Y 914527
X 1130078  Y 911377
X 1130078  Y 917676
X 1130078  Y 908228
X 1130078  Y 905078
X 1133228  Y 905078
X 1133228  Y 908228
X 1133228  Y 914527
X 1133228  Y 911377
X 1133228  Y 917676
X 1136377  Y 917676
X 1136377  Y 914527
X 1136377  Y 911377
X 1136377  Y 905078
X 1136377  Y 908228
X 1139527  Y 905078
X 1139527  Y 911377
X 1139527  Y 917676
X 1139527  Y 914527
X 1139527  Y 908228
X 1142676  Y 914527
X 1142676  Y 908228
X 1142676  Y 917676
X 1142676  Y 911377
X 1142676  Y 905078
X 1145826  Y 911377
X 1145826  Y 917676
X 1145826  Y 905078
X 1145826  Y 908228
X 1145826  Y 914527
X 1148976  Y 914527
X 1148976  Y 911377
X 1148976  Y 905078
X 1148976  Y 908228
X 1148976  Y 917676
X 1152125  Y 914527
X 1152125  Y 911377
X 1152125  Y 917676
X 1152125  Y 905078
X 1152125  Y 908228
X 1155275  Y 914527
X 1155275  Y 917676
X 1155276  Y 911373
X 1155300  Y 903600
X 1161575  Y 917676
X 1161700  Y 897100
X 1164724  Y 914527
X 1164724  Y 911377
X 1164724  Y 905078
X 1164724  Y 908228
X 1164724  Y 917676
X 1167874  Y 917676
X 1168553  Y 900551
X 1171023  Y 908227
X 1171023  Y 905078
X 1171023  Y 911377
X 1171023  Y 917676
X 1171023  Y 914527
X 1173653  Y 899951
X 1174173  Y 911377
X 1174173  Y 908228
X 1174173  Y 905078
X 1174173  Y 914527
X 1174173  Y 917676
X 1177323  Y 908228
X 1177323  Y 911377
X 1177323  Y 905078
X 1177323  Y 917676
X 1180472  Y 911377
X 1180472  Y 914527
X 1180472  Y 905078
X 1180472  Y 908228
X 1180472  Y 917676
X 1183622  Y 905078
X 1183622  Y 917676
X 1183622  Y 908228
X 1183622  Y 911377
X 1186771  Y 917676
X 1189921  Y 911377
X 1189921  Y 917676
X 1189921  Y 908228
X 1189921  Y 905078
X 1192453  Y 900351
X 1193168  Y 914339
X 1201718  Y 911689
X 1201718  Y 903989
X 1203753  Y 914046
X 1206353  Y 916846
X 1216153  Y 916846
X 1277753  Y 917351
X 1281253  Y 919551
X 1294000  Y 913000
X 1294000  Y 910500
X 1294000  Y 900500
X 1299000  Y 910500
X 1299000  Y 900500
X 1299000  Y 913000
