Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 999618  Y 860989
X 1001653  Y 862846
X 1003653  Y 860346
X 1003653  Y 867846
X 1005618  Y 865346
X 1011618  Y 847989
X 1019653  Y 845846
X 1035194  Y 846715
X 1038294  Y 846715
X 1046653  Y 870346
X 1049153  Y 870346
X 1060000  Y 845500
X 1063500  Y 845800
X 1074700  Y 846700
X 1077600  Y 848500
X 1078400  Y 845900
X 1081000  Y 850400
X 1085453  Y 848151
X 1085553  Y 845551
X 1088600  Y 868346
X 1088653  Y 848351
X 1088753  Y 845551
X 1091853  Y 848251
X 1092151  Y 845649
X 1096737  Y 866989
X 1098503  Y 862301
X 1101478  Y 862726
X 1105858  Y 856251
X 1108500  Y 857700
X 1109193  Y 847939
X 1112343  Y 851089
X 1112343  Y 847939
X 1115493  Y 847939
X 1115493  Y 851089
X 1118643  Y 847939
X 1120194  Y 845815
X 1121793  Y 851089
X 1124300  Y 866700
X 1124943  Y 847939
X 1124943  Y 851089
X 1128093  Y 847939
X 1128147  Y 851086
X 1131243  Y 847939
X 1131243  Y 851089
X 1134393  Y 851089
X 1134393  Y 847939
X 1137543  Y 847939
X 1137543  Y 851089
X 1140693  Y 851089
X 1140693  Y 847939
X 1143340  Y 862451
X 1143843  Y 847939
X 1143843  Y 851089
X 1146993  Y 847939
X 1147700  Y 845500
X 1150000  Y 847500
X 1150143  Y 851139
X 1153293  Y 851089
X 1153293  Y 847939
X 1156443  Y 847939
X 1159593  Y 851089
X 1159593  Y 847939
X 1162743  Y 847939
X 1162743  Y 854239
X 1162743  Y 851089
X 1165893  Y 847939
X 1165893  Y 851089
X 1169043  Y 855814
X 1169043  Y 851089
X 1169500  Y 847500
X 1171800  Y 845600
X 1172193  Y 847939
X 1172193  Y 854239
X 1175343  Y 847939
X 1175343  Y 851089
X 1178493  Y 851089
X 1178493  Y 847939
X 1181643  Y 851089
X 1181643  Y 847939
X 1184793  Y 855814
X 1184793  Y 851089
X 1187943  Y 854239
X 1187943  Y 847939
X 1191093  Y 847939
X 1193500  Y 849000
X 1195900  Y 846600
X 1205453  Y 852851
X 1288153  Y 851951
X 1288153  Y 855951
X 1289776  Y 847939
X 1292926  Y 851089
X 1292926  Y 847939
X 1296076  Y 847939
X 1296076  Y 851089
X 1299226  Y 851089
X 1299226  Y 847939
X 1302375  Y 847939
X 1302376  Y 851089
X 1305525  Y 851089
X 1305526  Y 847939
X 1308676  Y 851089
X 1308676  Y 847939
X 1311826  Y 855900
X 1314976  Y 847939
X 1314976  Y 855900
X 1318126  Y 851089
X 1318126  Y 847939
X 1321276  Y 851089
X 1321276  Y 847939
X 1324426  Y 851089
X 1324426  Y 847939
X 1327576  Y 847939
X 1327576  Y 851089
X 1330726  Y 851089
X 1330726  Y 847939
X 1333876  Y 847939
X 1333876  Y 851089
X 1337026  Y 851089
X 1337026  Y 847939
X 1340169  Y 855350
X 1340176  Y 851089
X 1343319  Y 855350
X 1343326  Y 845577
X 1346000  Y 847000
X 1346469  Y 849514
X 1349619  Y 851089
X 1349619  Y 847939
X 1352769  Y 851089
X 1353196  Y 848051
X 1355919  Y 847939
X 1355919  Y 851089
X 1359069  Y 847939
X 1359069  Y 851089
X 1362219  Y 851089
X 1362219  Y 847939
X 1365369  Y 851089
X 1377418  Y 847289
X 1377500  Y 851000
X 1350510  Y 888450
X 1340000  Y 884500
X 1318053  Y 879251
X 1309353  Y 890451
X 1202748  Y 881996
X 1202648  Y 879296
X 1190303  Y 879248
X 1187348  Y 885096
X 1185948  Y 891396
X 1179153  Y 889846
X 1178448  Y 880496
X 1176400  Y 890900
X 1176048  Y 882396
X 1173700  Y 889400
X 1169653  Y 894630
X 1166952  Y 882452
X 1166952  Y 877952
X 1162702  Y 894252
X 1160303  Y 882248
X 1159803  Y 878248
X 1153303  Y 878248
X 1152803  Y 882248
X 1138000  Y 892800
X 1137600  Y 882000
X 1135803  Y 884148
X 1135003  Y 881448
X 1132400  Y 893200
X 1129300  Y 893200
X 1125600  Y 880000
X 1125600  Y 882400
X 1120500  Y 874200
X 1120400  Y 883600
X 1120200  Y 881200
X 1116500  Y 873000
X 1104400  Y 880400
X 1099600  Y 870800
X 1099200  Y 875200
X 1096594  Y 892915
X 1090800  Y 870800
X 1088153  Y 891846
X 1088153  Y 873846
X 1084600  Y 892000
X 1084503  Y 881251
X 1080653  Y 873846
X 1080653  Y 891846
X 1078343  Y 871801
X 1078153  Y 874346
X 1073653  Y 891846
X 1073653  Y 874346
X 1069953  Y 891746
X 1069253  Y 881251
X 1066260  Y 874240
X 1066153  Y 891846
X 1059700  Y 874000
X 1059653  Y 891846
X 1056153  Y 891751
X 1055553  Y 881251
X 1052260  Y 873846
X 1052153  Y 891846
X 1045653  Y 874346
X 1045653  Y 891846
X 1041953  Y 880951
X 1041953  Y 891946
X 1039153  Y 874346
X 1038153  Y 891846
X 1035153  Y 873351
X 1033453  Y 871451
X 1031740  Y 874387
X 1031653  Y 891846
X 1028053  Y 880951
X 1028017  Y 891873
X 1024260  Y 874346
X 1024153  Y 891846
X 1017240  Y 874000
X 1017153  Y 891846
X 1013653  Y 881346
X 1013653  Y 891346
X 1010000  Y 873846
X 1009653  Y 891846
X 1006653  Y 872346
X 1009900  Y 906500
X 1017050  Y 906500
X 1020700  Y 906500
X 1024200  Y 906500
X 1031900  Y 906500
X 1038500  Y 906500
X 1045650  Y 906500
X 1049200  Y 906500
X 1052800  Y 906500
X 1059400  Y 906500
X 1066000  Y 906500
X 1073700  Y 906500
X 1077200  Y 906500
X 1080850  Y 906500
X 1088000  Y 906500
X 1091894  Y 907915
X 1098151  Y 920197
X 1106800  Y 899600
X 1117353  Y 898646
X 1126953  Y 910646
X 1126953  Y 903846
X 1130078  Y 911377
X 1130078  Y 908228
X 1130078  Y 905078
X 1130078  Y 917676
X 1130078  Y 914527
X 1133228  Y 905078
X 1133228  Y 908228
X 1133228  Y 911377
X 1133228  Y 914527
X 1133228  Y 917676
X 1136377  Y 905078
X 1136377  Y 908228
X 1136377  Y 911377
X 1136377  Y 917676
X 1136377  Y 914527
X 1139527  Y 911377
X 1139527  Y 905078
X 1139527  Y 908228
X 1139527  Y 917676
X 1139527  Y 914527
X 1142676  Y 905078
X 1142676  Y 908228
X 1142676  Y 914527
X 1142676  Y 911377
X 1142676  Y 917676
X 1145826  Y 905078
X 1145826  Y 914527
X 1145826  Y 917676
X 1145826  Y 911377
X 1145826  Y 908228
X 1148976  Y 905078
X 1148976  Y 914527
X 1148976  Y 911377
X 1148976  Y 908228
X 1152125  Y 905078
X 1152125  Y 914527
X 1152125  Y 911377
X 1152125  Y 917676
X 1152125  Y 908228
X 1155275  Y 914527
X 1155275  Y 917676
X 1155300  Y 903600
X 1158394  Y 908215
X 1161575  Y 917676
X 1161575  Y 905078
X 1161594  Y 908215
X 1164724  Y 911377
X 1164724  Y 905078
X 1164724  Y 908228
X 1164724  Y 914527
X 1164724  Y 917676
X 1166647  Y 898652
X 1167874  Y 908228
X 1167874  Y 914527
X 1167874  Y 911377
X 1167874  Y 917676
X 1168553  Y 900551
X 1171023  Y 905078
X 1171023  Y 914527
X 1171023  Y 917676
X 1171023  Y 911377
X 1173653  Y 899951
X 1174173  Y 908228
X 1174173  Y 905078
X 1174173  Y 914527
X 1174173  Y 911377
X 1174173  Y 917676
X 1177323  Y 908228
X 1177323  Y 914527
X 1177323  Y 911377
X 1177323  Y 905078
X 1177323  Y 917676
X 1180472  Y 917676
X 1180472  Y 908228
X 1180472  Y 905078
X 1180472  Y 914527
X 1180472  Y 911377
X 1183622  Y 914527
X 1183622  Y 917676
X 1183622  Y 911377
X 1183622  Y 908228
X 1183622  Y 905078
X 1186771  Y 917676
X 1186771  Y 914527
X 1189921  Y 905078
X 1189921  Y 911377
X 1189921  Y 908228
X 1189921  Y 917676
X 1190851  Y 900497
X 1193051  Y 899597
X 1195800  Y 917700
X 1201718  Y 903989
X 1201718  Y 911689
X 1205246  Y 911248
