Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1016500  Y 974000
X 1036000  Y 975000
X 1010400  Y 978400
X 1028800  Y 978800
X 1025600  Y 980800
X 1033000  Y 985500
X 1028400  Y 989200
X 1020800  Y 992800
X 1010200  Y 993400
X 1036000  Y 1002800
X 1025200  Y 1010000
X 1038000  Y 1011600
X 1024800  Y 1015600
X 1026400  Y 1019600
X 1033600  Y 1020800
X 1016000  Y 1021600
X 1024800  Y 1021600
X 1030800  Y 1023600
X 1038000  Y 1026500
X 1014000  Y 1027600
X 1028000  Y 1036400
X 1014400  Y 1039200
X 1018000  Y 1039200
X 1034800  Y 1041600
X 1022200  Y 1054000
X 1034800  Y 1054800
X 1046000  Y 1042000
X 1049800  Y 1039000
X 1051000  Y 1033000
X 1049200  Y 1021600
X 1063600  Y 1012400
X 1044800  Y 1011200
X 1049200  Y 1006000
X 1057600  Y 1004000
X 1047600  Y 1002800
X 1044000  Y 1002800
X 1040000  Y 1002800
X 1042000  Y 993600
X 1045600  Y 993600
X 1054000  Y 986500
X 1043500  Y 986000
X 1054000  Y 982500
X 1043000  Y 982500
X 1057500  Y 979500
X 1043000  Y 979500
X 1047000  Y 978000
X 1074000  Y 970400
X 1080800  Y 970400
X 1087200  Y 974400
X 1087000  Y 979000
X 1069200  Y 982000
X 1084000  Y 985000
X 1068500  Y 989000
X 1075000  Y 996400
X 1078400  Y 996800
X 1078400  Y 1000800
X 1070400  Y 1003200
X 1067200  Y 1007800
X 1078600  Y 1010800
X 1078432  Y 1016779
X 1067800  Y 1021600
X 1078400  Y 1022800
X 1078000  Y 1029400
X 1076800  Y 1032800
X 1067800  Y 1036600
X 1077600  Y 1052800
X 1086400  Y 1052800
X 1106200  Y 1050800
X 1090000  Y 1048000
X 1094800  Y 1045600
X 1097800  Y 1045600
X 1110932  Y 1045279
X 1103200  Y 1045000
X 1094932  Y 1028779
X 1099932  Y 1028779
X 1104932  Y 1028779
X 1109932  Y 1028779
X 1109932  Y 1023779
X 1104932  Y 1023779
X 1099932  Y 1023779
X 1094932  Y 1023779
X 1094932  Y 1018779
X 1099932  Y 1018779
X 1104932  Y 1018779
X 1109932  Y 1018779
X 1088932  Y 1018779
X 1088932  Y 1014779
X 1094932  Y 1013779
X 1099932  Y 1013779
X 1104932  Y 1013779
X 1109932  Y 1013779
X 1109932  Y 1008779
X 1099932  Y 1008779
X 1094932  Y 1008779
X 1104932  Y 1008779
X 1088800  Y 1007200
X 1099932  Y 1003779
X 1094932  Y 1003779
X 1104932  Y 1003779
X 1109932  Y 1003779
X 1099932  Y 998779
X 1109932  Y 998779
X 1094932  Y 998779
X 1104932  Y 998779
X 1096932  Y 992779
X 1095400  Y 983200
X 1110400  Y 982600
X 1105000  Y 980800
X 1106200  Y 977800
X 1102000  Y 976000
X 1110400  Y 975400
X 1093600  Y 973000
X 1090600  Y 972400
X 1096600  Y 971800
X 1132600  Y 973000
X 1138000  Y 973600
X 1124000  Y 978800
X 1132600  Y 982000
X 1116932  Y 982279
X 1135000  Y 988600
X 1138600  Y 991600
X 1114932  Y 992779
X 1114932  Y 998779
X 1124932  Y 998779
X 1119932  Y 998779
X 1124932  Y 1003779
X 1119932  Y 1003779
X 1114932  Y 1003779
X 1124932  Y 1008779
X 1119932  Y 1008779
X 1114932  Y 1008779
X 1124932  Y 1013779
X 1119932  Y 1013779
X 1114932  Y 1013779
X 1119932  Y 1018779
X 1124932  Y 1018779
X 1114932  Y 1018779
X 1119932  Y 1023779
X 1114932  Y 1023779
